runs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Lev_Kmeans_Kmeans,16,15,16,19,15,16,19,19,15,15,15,21,14,20,11,14,14,17,16,15,21,17,16,19,14,15,15,16,20,16,15,11,14,14,16,15,21,17,16,19,14,15,15,16,16,14,15,15,14,15
Lev_Kmeans_DBSCAN,16,15,16,16,13,14,15,15,13,13,13,19,12,8,17,13,12,14,16,13,19,14,16,15,13,13,15,16,8,14,13,17,12,12,16,13,19,14,16,15,13,13,15,16,16,12,13,13,13,15
Lev_Kmeans_HDBSCAN,14,13,14,16,13,14,15,15,13,13,12,19,12,17,17,13,12,14,14,13,19,14,14,15,13,13,13,14,17,14,13,17,12,12,14,13,19,14,14,15,13,13,13,14,14,12,13,13,13,13
Lev_DBSCAN_Kmeans,25,24,26,25,25,26,29,25,26,24,25,25,27,25,25,26,25,25,25,25,25,25,26,29,26,24,24,25,25,26,26,25,27,25,25,25,25,25,26,29,26,24,24,25,26,25,26,25,26,24
Lev_DBSCAN_DBSCAN,35,35,36,36,36,36,36,35,34,35,35,37,36,36,36,36,34,35,35,36,37,35,36,36,36,35,35,35,36,36,34,36,36,34,35,36,37,35,36,36,36,35,35,35,36,34,34,36,36,35
Lev_DBSCAN_HDBSCAN,43,47,44,44,44,44,51,48,47,46,46,45,45,47,47,47,45,44,43,44,45,44,44,51,47,46,47,43,47,44,47,47,45,45,43,44,45,44,44,51,47,46,47,43,44,45,47,44,47,47
Lev_HDBSCAN_Kmeans,13,12,11,10,10,11,12,10,10,9,10,11,10,11,11,11,10,10,13,10,11,10,11,12,11,9,12,13,11,11,10,11,10,10,13,10,11,10,11,12,11,9,12,13,11,10,10,10,11,12
Lev_HDBSCAN_DBSCAN,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Lev_HDBSCAN_HDBSCAN,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Bag_Kmeans_Kmeans,17,16,16,21,15,15,18,22,16,20,15,21,15,18,21,17,16,22,17,15,21,22,16,18,17,20,16,17,18,15,16,21,15,16,17,15,21,22,16,18,17,20,16,17,16,16,16,15,17,16
Bag_Kmeans_DBSCAN,15,14,14,17,13,13,15,18,13,18,12,18,13,15,16,15,14,17,15,13,18,17,14,15,15,18,14,15,15,13,13,16,13,14,15,13,18,17,14,15,15,18,14,15,14,14,13,13,15,14
Bag_Kmeans_HDBSCAN,15,14,14,17,13,13,15,18,13,18,12,18,13,15,16,15,14,17,15,13,18,17,14,15,15,18,14,15,15,13,13,16,13,14,15,13,18,17,14,15,15,18,14,15,14,14,13,13,15,14
Bag_DBSCAN_Kmeans,22,21,22,22,22,23,22,21,22,22,22,22,22,22,22,23,24,23,22,22,22,23,22,22,23,22,21,22,22,23,22,22,22,24,22,22,22,23,22,22,23,22,21,22,22,24,22,22,23,21
Bag_DBSCAN_DBSCAN,34,35,35,34,34,34,35,34,34,34,34,34,34,34,36,34,34,34,34,34,34,34,35,35,34,34,35,34,34,34,34,36,34,34,34,34,34,34,35,35,34,34,35,34,35,34,34,34,34,35
Bag_DBSCAN_HDBSCAN,39,38,42,41,41,40,41,41,40,37,39,40,40,41,39,40,40,40,39,41,40,40,42,41,40,37,38,39,41,40,40,39,40,40,39,41,40,40,42,41,40,37,38,39,42,40,40,41,40,38
Bag_HDBSCAN_Kmeans,11,11,11,10,10,11,12,10,10,10,9,10,10,10,11,11,11,11,11,10,10,11,11,12,11,10,11,11,10,11,10,11,10,11,11,10,10,11,11,12,11,10,11,11,11,11,10,10,11,11
Bag_HDBSCAN_DBSCAN,9,9,9,8,9,9,9,9,9,9,9,11,9,9,9,9,8,9,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,11,9,9,9,9,9,9,9,9,8,9,9,9,9
Bag_HDBSCAN_HDBSCAN,9,9,9,8,9,9,9,9,9,8,9,10,9,9,9,9,8,9,9,9,10,9,9,9,9,8,9,9,9,9,9,9,9,8,9,9,10,9,9,9,9,8,9,9,9,8,9,9,9,9